metric,value
status,succeeded
duration_s,8.172841249994235
samples,241
path_length_m,0.564285319142923
final_position_error_m,0.23675787196600653
max_linear_speed_mps,0.2601900474311126
max_angular_speed_radps,0.10679894726287863
final_linear_speed_mps,5.3811101687684827e-05
final_angular_speed_radps,0.00025898647524075073
recoveries,1
goal_tolerance_m,0.25
goal_within_tolerance,True
map_resolution_m,0.05000000074505806
map_width_cells,111
map_height_cells,102
map_known_cells,1050
map_known_fraction,0.09273979862215156
