time_s,x_m,y_m,linear_speed_mps,angular_speed_radps
1.001055,-2.000002,-0.500000,-0.000017,-0.000158
1.035092,-2.000002,-0.500001,0.000127,-0.000235
1.069172,-1.999998,-0.500001,0.000248,-0.000243
1.103079,-1.999989,-0.500001,0.000354,-0.000246
1.137150,-1.999980,-0.500002,0.000261,-0.000285
1.171232,-1.999977,-0.500002,0.000042,-0.000323
1.205183,-1.999981,-0.500002,-0.000151,-0.000350
1.239055,-1.999988,-0.500002,-0.000059,-0.000267
1.273117,-1.999989,-0.500001,0.000087,-0.000241
1.307132,-1.999986,-0.500001,0.000213,-0.000243
1.341146,-1.999982,-0.500001,0.000120,-0.000292
1.375144,-1.999983,-0.500000,-0.000006,-0.000290
1.409091,-1.999985,-0.500000,-0.000002,-0.000245
1.443107,-1.999985,-0.500000,0.000096,-0.000263
1.477199,-1.999984,-0.500000,0.000105,-0.000282
1.511117,-1.999983,-0.500000,0.000078,-0.000299
1.545126,-1.999984,-0.500000,0.000067,-0.000292
1.579099,-1.999984,-0.500000,0.000075,-0.000280
1.613107,-1.999984,-0.500000,0.000063,-0.000266
1.647073,-1.999983,-0.500000,0.000056,-0.000268
1.681114,-1.999983,-0.500000,0.000055,-0.000273
1.715209,-1.999984,-0.500000,0.000081,-0.000295
1.749070,-1.999983,-0.500000,0.000069,-0.000268
1.783161,-1.999983,-0.500000,0.000044,-0.000247
1.817114,-1.999983,-0.500000,0.000043,-0.000251
1.851121,-1.999983,-0.500000,0.000047,-0.000249
1.884994,-1.999983,-0.500000,0.000060,-0.000254
1.919149,-1.999983,-0.500000,0.000056,-0.000270
1.953089,-1.999983,-0.500000,0.000060,-0.000272
1.987029,-1.999983,-0.500000,0.000080,-0.000289
2.021107,-1.999983,-0.500000,0.000074,-0.000283
2.055105,-1.999983,-0.500000,0.000073,-0.000278
2.089141,-1.999983,-0.500000,0.000047,-0.000247
2.123204,-1.999983,-0.500000,0.000041,-0.000246
2.157174,-1.999983,-0.500000,0.000062,-0.000278
2.191114,-1.999983,-0.500000,0.000066,-0.000281
2.225236,-1.999983,-0.500000,0.000073,-0.000287
2.259254,-1.999983,-0.500000,0.000069,-0.000273
2.293270,-1.999983,-0.500000,0.000049,-0.000255
2.327468,-1.999983,-0.500000,0.000053,-0.000263
2.361630,-1.999983,-0.500000,0.000072,-0.000287
2.395820,-1.999982,-0.500000,0.000083,-0.000291
2.429964,-1.999982,-0.500000,0.000072,-0.000278
2.464026,-1.999982,-0.500000,0.000071,-0.000274
2.498046,-1.999982,-0.500000,0.000075,-0.000280
2.532117,-1.999982,-0.500000,0.000073,-0.000278
2.566128,-1.999982,-0.500000,0.000048,-0.000252
2.600071,-1.999982,-0.500000,0.000041,-0.000247
2.634095,-1.999982,-0.500000,0.000057,-0.000272
2.668089,-1.999982,-0.500000,0.000075,-0.000292
2.701924,-1.999982,-0.500000,0.000081,-0.000289
2.736116,-1.999982,-0.500000,0.000064,-0.000264
2.770077,-1.999982,-0.500000,0.000050,-0.000260
2.803992,-1.999982,-0.500000,0.000054,-0.000263
2.838041,-1.999982,-0.500000,0.000058,-0.000271
2.871968,-1.999982,-0.500000,0.000074,-0.000281
2.906074,-1.999982,-0.500000,0.000048,-0.000250
2.941444,-1.999982,-0.500000,0.000041,-0.000247
2.974854,-1.999982,-0.500000,0.000057,-0.000272
3.008886,-1.999982,-0.500000,0.000075,-0.000293
3.042961,-1.999982,-0.500000,0.000081,-0.000289
3.077213,-1.999981,-0.500000,0.000065,-0.000264
3.111045,-1.999981,-0.500000,0.000050,-0.000253
3.145017,-1.999981,-0.500000,0.000049,-0.000261
3.178947,-1.999981,-0.500000,0.000053,-0.000263
3.213094,-1.999981,-0.500000,0.000058,-0.000271
3.246985,-1.999981,-0.500000,0.000083,-0.000294
3.280931,-1.999981,-0.500000,0.000077,-0.000283
3.315001,-1.999981,-0.500000,0.000065,-0.000264
3.349103,-1.999981,-0.500000,0.000064,-0.000261
3.383115,-1.999981,-0.500000,0.000044,-0.000256
3.417040,-1.999981,-0.500000,0.000048,-0.000255
3.450978,-1.999981,-0.500000,0.000052,-0.000262
3.485072,-1.999981,-0.500000,0.000083,-0.000294
3.519138,-1.999981,-0.500000,0.000082,-0.000291
3.553212,-1.999981,-0.500000,0.000061,-0.000255
3.587002,-1.999981,-0.500000,0.000046,-0.000255
3.621176,-1.999981,-0.500000,0.000050,-0.000260
3.655183,-1.999981,-0.500000,0.000059,-0.000272
3.689022,-1.999981,-0.500000,0.000080,-0.000290
3.723112,-1.999981,-0.500000,0.000074,-0.000283
3.757147,-1.999980,-0.500000,0.000048,-0.000250
3.790912,-1.999980,-0.500000,0.000041,-0.000247
3.825010,-1.999980,-0.500000,0.000057,-0.000272
3.858948,-1.999980,-0.500000,0.000075,-0.000293
3.892860,-1.999980,-0.500000,0.000081,-0.000289
3.927515,-1.999980,-0.500000,0.000065,-0.000264
3.961268,-1.999980,-0.500000,0.000050,-0.000253
3.995079,-1.999980,-0.500000,0.000049,-0.000261
4.029205,-1.999980,-0.500000,0.000053,-0.000263
4.063188,-1.999980,-0.500000,0.000052,-0.000262
4.097139,-1.999980,-0.500000,0.000083,-0.000294
4.131181,-1.999980,-0.500000,0.000062,-0.000255
4.165121,-1.999980,-0.500000,0.000061,-0.000254
4.199124,-1.999980,-0.500000,0.000060,-0.000254
4.233099,-1.999980,-0.500000,0.000049,-0.000253
4.267055,-1.999980,-0.500000,0.000048,-0.000257
4.301038,-1.999980,-0.500000,0.000052,-0.000262
4.335154,-1.999980,-0.500000,0.000083,-0.000294
4.369177,-1.999980,-0.500000,0.000077,-0.000284
4.403074,-1.999979,-0.500000,0.000061,-0.000256
4.437109,-1.999979,-0.500000,0.000060,-0.000254
4.471083,-1.999979,-0.500000,0.000061,-0.000274
4.505022,-1.998824,-0.500000,0.034074,-0.000295
